Variable1;Valor1;Variable2;Valor2;Variable3;Valor3;PERIODO;VALOR
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M11;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M10;0,8
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M09;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M08;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M07;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M06;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M05;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M04;0,8
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M03;0,6
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M02;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2013M01;-1,6
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M12;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M11;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M10;1,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M09;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M08;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M07;-0,7
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M06;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M05;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M04;1,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M03;0,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M02;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2012M01;-1,7
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M12;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M11;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M10;1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M09;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M08;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M07;-0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M06;-0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M05;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M04;1,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M03;0,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M02;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2011M01;-1,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M12;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M11;0,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M10;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M09;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M08;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M07;-0,7
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M06;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M05;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M04;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M03;0,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M02;-0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2010M01;-1,6
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M12;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M11;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M10;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M09;-0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M08;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M07;-1,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M06;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M05;-0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M04;1,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M03;0,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M02;-0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2009M01;-1,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M12;0,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M11;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M10;0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M09;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M08;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M07;-0,9
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M06;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M05;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M04;1,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M03;0,7
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M02;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2008M01;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M12;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M11;0,5
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M10;1,4
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M09;0,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M08;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M07;-1,0
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M06;0,1
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M05;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M04;1,3
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M03;0,6
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M02;0,2
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2007M01;-0,8
Tipo de dato;Variación mensual;Grupos especiales 2001;General sin alimentos no elaborados ni productos energéticos;Total Nacional;Total Nacional;2006M12;0,1
